Country,Year,Production,Exports,Domestic_consumption,Gross_opening_stocks,Imports,Re_exports,Price_retail,Consumption,Coffee_type,Price_grower,Country_code,Latitude,Longitude,Exports (tonnes),Domestic Consumption (tonnes),Production (tonnes),Price to Grower ($)
Jamaica,2007,20.1766,22.7331535,9.0,19.746,,,,,Other Milds,343.0594,JM,18.109581,-77.297508,1363.98921,540.0,1210.596,3.4305939999999997
Kenya,2007,652.105,817.466,50.0,100.0,,,,,Colombian Milds,,KE,-0.023559,37.906193,49047.96,3000.0,39126.3,
Liberia,2007,6.8511,2.3353334,5.0,0.0,,,,,Robustas,,LR,6.4280550000000005,-9.429499,140.120004,300.0,411.066,
Mexico,2007,4150.3183,2912.3017258,2200.0,725.0,,,,,Other Milds,90.9075,MX,23.634501,-102.552784,174738.10354799998,132000.0,249019.098,0.909075
Nicaragua,2007,1905.6714,1259.3465787,191.645,87.349,,,,,Other Milds,64.3645,NI,12.865416,-85.207229,75560.794722,11498.7,114340.284,0.643645
Nigeria,2007,42.1658,9.4129532,40.0,0.0,,,,,Robustas,,NG,9.081999,8.675277000000001,564.777192,2400.0,2529.948,
Panama,2007,176.0553,108.8952921,67.0,15.0,,,,,Other Milds,,PA,8.537981,-80.782127,6533.717526,4020.0,10563.318,
Sierra Leone,2007,40.0011,51.0899843,5.0,2.0,,,,,Robustas,,SL,8.460555000000001,-11.779889,3065.399058,300.0,2400.0660000000003,
Sri Lanka,2007,33.4906,4.2543587,30.0,0.0,,,,,Other Milds,,LK,7.873054,80.77179699999999,255.261522,1800.0,2009.4360000000001,
Sri Lanka,2007,33.4906,4.2543587,30.0,0.0,,,,,Robustas,,LK,7.873054,80.77179699999999,255.261522,1800.0,2009.4360000000001,
Thailand,2007,650.4208,365.4450574,550.0,11.0,,,,,Brazilan Naturals,,TH,15.870032,100.992541,21926.703444,33000.0,39025.248,
Thailand,2007,650.4208,365.4450574,550.0,11.0,,,,,Robustas,64.6742,TH,15.870032,100.992541,21926.703444,33000.0,39025.248,0.646742
Togo,2007,125.131,154.9078833,2.0,20.0,,,,,Robustas,56.7223,TG,8.619543,0.824782,9294.472998000001,120.0,7507.86,0.5672229999999999
Trinidad & Tobago,2007,12.1349,0.7603987,11.0,0.0,,,,,Robustas,,,,,45.623922,660.0,728.094,
